daily_operation_hr,n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,t_takeoff_attach_hr,t_return_takeoff_abu_hr,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_cruise_attach_hr,t_cruise_attach_start_hr,t_return_cruise_abu_hr,t_flight_hr,t_charge_hr_main,t_charge_hr_takeoff_abu,t_charge_hr_cruise_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_takeoff_abu_day_hr,t_wait_cruise_abu_day_hr,abu_utilization_avg_takeoff,abu_utilization_avg_cruise,abu_bottleneck_takeoff_flag,abu_bottleneck_cruise_flag,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
8.000000,1.000000,1.000000,5.000000,53.591286,38.953378,0.726860,0.273140,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,5.000000,4.673747,12.000000,17.000000,0.000000,1.000000,0.028654,0.039167,0.581640,0.333333,0.631373,0.260281,0.276800,1.248007,6.000000,7.000000,2.333333,0.000000,0.000000,0.000000,0.327974,0.810478,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,10.000000,53.591286,34.436421,0.642575,0.357425,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,10.000000,9.190704,12.000000,22.000000,0.000000,1.000000,0.056347,0.039167,0.519700,0.333333,0.590028,0.260281,0.348178,1.206662,6.000000,7.000000,2.333333,0.000000,0.000000,0.000000,0.327974,0.842968,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,15.000000,53.591286,30.071344,0.561124,0.438876,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,15.000000,13.555782,12.000000,27.000000,0.000000,1.000000,0.083109,0.039167,0.459843,0.333333,0.550073,0.260281,0.417592,1.166707,6.000000,7.000000,2.333333,0.000000,0.000000,0.000000,0.327974,0.874747,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,20.000000,53.591286,25.853370,0.482417,0.517583,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,20.000000,17.773755,12.000000,32.000000,0.000000,1.000000,0.108968,0.039167,0.402004,0.333333,0.511465,0.260281,0.485428,1.128098,7.000000,7.000000,2.333333,0.103313,0.000000,0.000000,0.327974,0.906121,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,25.000000,53.591286,21.777855,0.406369,0.593631,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,25.000000,21.849271,12.000000,37.000000,0.000000,1.000000,0.133955,0.039167,0.346117,0.333333,0.474160,0.260281,0.551949,1.090794,7.000000,8.000000,2.666667,0.000000,0.000000,0.000000,0.374828,1.071188,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,30.000000,53.591286,17.840281,0.332895,0.667105,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,30.000000,25.786845,12.000000,42.000000,0.000000,1.000000,0.158096,0.039167,0.292123,0.333333,0.438118,0.260281,0.617344,1.054752,7.000000,7.000000,2.333333,0.304874,0.000000,0.311863,0.327974,0.968388,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,35.000000,53.591286,14.036261,0.261913,0.738087,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,35.000000,29.590864,12.000000,47.000000,0.000000,1.000000,0.181418,0.039167,0.239959,0.333333,0.403299,0.260281,0.681758,1.019932,7.000000,7.000000,2.333333,0.126260,0.000000,0.734213,0.327974,0.999514,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,40.000000,53.591286,10.361536,0.193344,0.806656,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,40.000000,33.265590,12.000000,52.000000,0.000000,1.000000,0.203947,0.039167,0.189569,0.333333,0.360517,0.260281,0.745302,0.977150,8.000000,7.000000,2.333333,0.000000,0.000000,1.205008,0.327974,1.030737,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,45.000000,53.591286,6.811967,0.127110,0.872890,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,45.000000,36.815158,12.000000,57.000000,0.000000,1.000000,0.225709,0.039167,0.140895,0.333333,0.237014,0.260281,0.808068,0.853647,9.000000,7.000000,2.333333,0.000000,0.000000,2.161147,0.327974,1.062109,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,50.000000,53.591286,3.383543,0.063136,0.936864,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,50.000000,40.243583,12.000000,62.000000,0.000000,1.000000,0.246728,0.039167,0.093882,0.333333,0.117726,0.260281,0.870130,0.734359,10.000000,7.000000,2.333333,0.000000,0.000000,3.093282,0.327974,1.093668,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,5.000000,53.591286,38.953378,0.726860,0.273140,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,5.000000,4.673747,12.000000,17.000000,0.000000,1.000000,0.028654,0.039167,0.581640,0.333333,0.631373,0.260281,0.276800,1.248007,6.000000,7.000000,2.333333,0.000000,0.000000,0.000000,0.327974,0.405239,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,10.000000,53.591286,34.436421,0.642575,0.357425,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,10.000000,9.190704,12.000000,22.000000,0.000000,1.000000,0.056347,0.039167,0.519700,0.333333,0.590028,0.260281,0.348178,1.206662,6.000000,7.000000,2.333333,0.000000,0.000000,0.000000,0.327974,0.421484,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,15.000000,53.591286,30.071344,0.561124,0.438876,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,15.000000,13.555782,12.000000,27.000000,0.000000,1.000000,0.083109,0.039167,0.459843,0.333333,0.550073,0.260281,0.417592,1.166707,6.000000,7.000000,2.333333,0.000000,0.000000,0.000000,0.327974,0.437373,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,20.000000,53.591286,25.853370,0.482417,0.517583,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,20.000000,17.773755,12.000000,32.000000,0.000000,1.000000,0.108968,0.039167,0.402004,0.333333,0.511465,0.260281,0.485428,1.128098,7.000000,7.000000,2.333333,0.103313,0.000000,0.000000,0.327974,0.453061,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,25.000000,53.591286,21.777855,0.406369,0.593631,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,25.000000,21.849271,12.000000,37.000000,0.000000,1.000000,0.133955,0.039167,0.346117,0.333333,0.474160,0.260281,0.551949,1.090794,7.000000,8.000000,2.666667,0.000000,0.000000,0.000000,0.374828,0.535594,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,30.000000,53.591286,17.840281,0.332895,0.667105,1.000000,0.800000,6.938058,6.000000,21.000000,0.383902,0.616098,0.039167,0.075380,30.000000,25.786845,12.000000,42.000000,0.000000,1.000000,0.158096,0.039167,0.292123,0.333333,0.438118,0.260281,0.617344,1.054752,7.000000,8.000000,2.666667,0.000000,0.000000,0.000000,0.374828,0.553365,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
