n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,20.936475,150.489897,27.833031,5.000000,26.022308,3.189277,68.388113,2.851374
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,21.952333,189.609702,28.318833,10.000000,26.022308,7.703474,165.186684,6.887293
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,22.214228,227.975545,28.801327,15.000000,26.022308,12.220981,262.056208,10.926170
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,22.470235,266.335500,29.289740,20.000000,26.022308,16.732567,358.798795,14.959755
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,22.725385,304.694597,29.784136,25.000000,26.022308,21.238172,455.413105,18.987991
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,22.979726,343.052885,30.284514,30.000000,26.022308,25.737794,551.899133,23.010879
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.233272,381.410379,30.790874,30.790874,26.022308,26.022308,558.000000,23.265249
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,23.486036,419.767091,31.303216,31.303216,26.022308,26.022308,558.000000,23.265249
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,23.738033,458.123035,31.821540,31.821540,26.022308,26.022308,558.000000,23.265249
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,23.989275,496.478224,32.345846,32.345846,26.022308,26.022308,558.000000,23.265249
