daily_operation_hr,n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,E_pack_kwh_main,E_mission_kwh_main,dod_main,soc_start_main,soc_target,soc_cc_end,E_abu_used_takeoff_total_kwh,E_ops_takeoff_per_abu_kwh,E_pack_takeoff_abu_per_abu_kwh,soc_start_abu_takeoff,dod_abu_takeoff,t_takeoff_attach_hr,t_return_takeoff_abu_hr,E_abu_used_cruise_total_kwh,E_saved_kwh_cruise,E_ops_cruise_per_abu_kwh,E_pack_cruise_abu_per_abu_kwh,soc_start_abu_cruise,dod_abu_cruise,t_cruise_attach_hr,t_cruise_attach_start_hr,t_return_cruise_abu_hr,t_flight_hr,t_charge_hr_main,t_charge_hr_takeoff_abu,t_charge_hr_cruise_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_takeoff_abu_day_hr,t_wait_cruise_abu_day_hr,abu_utilization_avg_takeoff,abu_utilization_avg_cruise,abu_bottleneck_takeoff_flag,abu_bottleneck_cruise_flag,P_cc_kw_main,P_cc_kw_takeoff_abu,P_cc_kw_cruise_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_takeoff_abu,charger_limit_indicator_flag_cruise_abu
8.000000,1.000000,1.000000,5.000000,63.148274,42.984325,0.680689,0.319311,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,5.000000,4.815690,12.000000,17.000000,0.000000,1.000000,0.016525,0.039167,0.385103,0.233333,0.699723,0.275663,0.276800,1.216357,6.000000,7.000000,1.633333,0.000000,0.000000,0.000000,0.341434,0.627895,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,10.000000,63.148274,38.258700,0.605855,0.394145,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,10.000000,9.541315,12.000000,22.000000,0.000000,1.000000,0.032740,0.039167,0.348834,0.233333,0.656468,0.275663,0.348178,1.173101,6.000000,7.000000,1.633333,0.000000,0.000000,0.000000,0.341434,0.672804,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,15.000000,63.148274,33.621633,0.532424,0.467576,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,15.000000,14.178381,12.000000,27.000000,0.000000,1.000000,0.048652,0.039167,0.313245,0.233333,0.614024,0.275663,0.417592,1.130657,7.000000,7.000000,1.633333,0.085402,0.000000,0.000000,0.341434,0.716324,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,20.000000,63.148274,29.071638,0.460371,0.539629,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,20.000000,18.728376,12.000000,32.000000,0.000000,1.000000,0.064265,0.039167,0.278324,0.233333,0.572376,0.275663,0.485428,1.089009,7.000000,8.000000,1.866667,0.000000,0.000000,0.000000,0.390210,0.867184,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,25.000000,63.148274,24.607245,0.389674,0.610326,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,25.000000,23.192770,12.000000,37.000000,0.000000,1.000000,0.079584,0.039167,0.244060,0.233333,0.531512,0.275663,0.551949,1.048145,7.000000,8.000000,1.866667,0.000000,0.000000,0.000000,0.390210,0.914760,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,30.000000,63.148274,20.227004,0.320310,0.679690,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,30.000000,27.573011,12.000000,42.000000,0.000000,1.000000,0.094614,0.039167,0.210442,0.233333,0.491418,0.275663,0.617344,1.008052,7.000000,8.000000,1.866667,0.000000,0.000000,0.000000,0.390210,0.961567,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,35.000000,63.148274,15.929483,0.252255,0.747745,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,35.000000,31.870531,12.000000,47.000000,0.000000,1.000000,0.109361,0.039167,0.177459,0.233333,0.452082,0.275663,0.681758,0.968715,8.000000,8.000000,1.866667,0.000000,0.000000,0.273207,0.390210,1.007745,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,40.000000,63.148274,11.713271,0.185488,0.814512,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,40.000000,36.086743,12.000000,52.000000,0.000000,1.000000,0.123829,0.039167,0.145100,0.233333,0.391267,0.275663,0.745302,0.907900,8.000000,8.000000,1.866667,0.000000,0.000000,1.018483,0.390210,1.053398,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,45.000000,63.148274,7.576975,0.119987,0.880013,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,45.000000,40.223040,12.000000,57.000000,0.000000,1.000000,0.138022,0.039167,0.113354,0.233333,0.253099,0.275663,0.808068,0.769732,10.000000,8.000000,1.866667,0.000000,0.000000,2.302151,0.390210,1.098611,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,1.000000,50.000000,63.148274,3.519220,0.055729,0.944271,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,50.000000,44.280795,12.000000,62.000000,0.000000,1.000000,0.151946,0.039167,0.082211,0.233333,0.117555,0.275663,0.870130,0.634188,12.000000,7.000000,1.633333,0.505089,0.000000,3.055592,0.341434,1.000522,0.000000,1.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,5.000000,63.148274,42.984325,0.680689,0.319311,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,5.000000,4.815690,12.000000,17.000000,0.000000,1.000000,0.016525,0.039167,0.385103,0.233333,0.699723,0.275663,0.276800,1.216357,6.000000,7.000000,1.633333,0.000000,0.000000,0.000000,0.341434,0.313948,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,10.000000,63.148274,38.258700,0.605855,0.394145,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,10.000000,9.541315,12.000000,22.000000,0.000000,1.000000,0.032740,0.039167,0.348834,0.233333,0.656468,0.275663,0.348178,1.173101,6.000000,7.000000,1.633333,0.000000,0.000000,0.000000,0.341434,0.336402,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,15.000000,63.148274,33.621633,0.532424,0.467576,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,15.000000,14.178381,12.000000,27.000000,0.000000,1.000000,0.048652,0.039167,0.313245,0.233333,0.614024,0.275663,0.417592,1.130657,7.000000,7.000000,1.633333,0.085402,0.000000,0.000000,0.341434,0.358162,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,20.000000,63.148274,29.071638,0.460371,0.539629,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,20.000000,18.728376,12.000000,32.000000,0.000000,1.000000,0.064265,0.039167,0.278324,0.233333,0.572376,0.275663,0.485428,1.089009,7.000000,8.000000,1.866667,0.000000,0.000000,0.000000,0.390210,0.433592,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,25.000000,63.148274,24.607245,0.389674,0.610326,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,25.000000,23.192770,12.000000,37.000000,0.000000,1.000000,0.079584,0.039167,0.244060,0.233333,0.531512,0.275663,0.551949,1.048145,7.000000,8.000000,1.866667,0.000000,0.000000,0.000000,0.390210,0.457380,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,30.000000,63.148274,20.227004,0.320310,0.679690,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,30.000000,27.573011,12.000000,42.000000,0.000000,1.000000,0.094614,0.039167,0.210442,0.233333,0.491418,0.275663,0.617344,1.008052,7.000000,8.000000,1.866667,0.000000,0.000000,0.000000,0.390210,0.480784,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,35.000000,63.148274,15.929483,0.252255,0.747745,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,35.000000,31.870531,12.000000,47.000000,0.000000,1.000000,0.109361,0.039167,0.177459,0.233333,0.452082,0.275663,0.681758,0.968715,8.000000,9.000000,2.100000,0.000000,0.000000,0.000000,0.438986,0.566856,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,40.000000,63.148274,11.713271,0.185488,0.814512,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,40.000000,36.086743,12.000000,52.000000,0.000000,1.000000,0.123829,0.039167,0.145100,0.233333,0.391267,0.275663,0.745302,0.907900,8.000000,9.000000,2.100000,0.000000,0.000000,0.000000,0.438986,0.592536,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,45.000000,63.148274,7.576975,0.119987,0.880013,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,45.000000,40.223040,12.000000,57.000000,0.000000,1.000000,0.138022,0.039167,0.113354,0.233333,0.253099,0.275663,0.808068,0.769732,10.000000,11.000000,2.566667,0.000000,0.000000,0.000000,0.536538,0.755295,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
8.000000,1.000000,2.000000,50.000000,63.148274,3.519220,0.055729,0.944271,1.000000,0.800000,8.618541,6.000000,21.000000,0.303879,0.696121,0.039167,0.075380,50.000000,44.280795,12.000000,62.000000,0.000000,1.000000,0.151946,0.039167,0.082211,0.233333,0.117555,0.275663,0.870130,0.634188,12.000000,13.000000,3.033333,0.000000,0.000000,0.000000,0.634091,0.929056,0.000000,0.000000,109.250000,109.250000,109.250000,charger_limited,charger_limited,charger_limited
